time,period,step,zone,storage_in,constant_head_in,wells_in,river_leakage_in,head_dep_bounds_in,recharge_in,other_zones_in,total_in,storage_out,constant_head_out,wells_out,river_leakage_out,head_dep_bounds_out,recharge_out,other_zones_out,total_out,,,in_out,precent_error,from_z1,from_z2,from_z3,from_z4,from_z5,from_z6,from_z7,     to_z1,     to_z2,     to_z3,     to_z4,     to_z5,     to_z6,     to_z7
0.00,1,1,1,0.00E+00,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,0.00E+00,0.00E+00,2.63E+05,1.91E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,0.98,1.03,-7.16E-01,-1.77E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.10,2,1,1,1.96E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.90E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.16E+01,-1.28E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.20,2,2,1,1.88E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.07E+01,-1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.30,2,3,1,1.89E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.70E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.07E+01,-1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.40,2,4,1,1.89E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.70E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.06E+01,-1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.50,2,5,1,1.86E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.06E+01,-1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.60,2,6,1,1.83E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.08E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.70,2,7,1,1.83E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.08E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.80,2,8,1,1.83E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.09E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
0.90,2,9,1,1.83E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.09E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
1.00,2,10,1,1.83E+01,0.00E+00,0.00E+00,2.70E+05,0.00E+00,0.00E+00,1.35E+05,4.05E+05,1.69E+01,0.00E+00,2.63E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.05E+05,1.03,,-5.09E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
1.10,3,1,1,1.75E+00,0.00E+00,0.00E+00,2.68E+05,0.00E+00,0.00E+00,1.33E+05,4.02E+05,6.08E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.40E+05,4.02E+05,1.06,,-5.04E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+05
1.20,3,2,1,1.75E+00,0.00E+00,0.00E+00,2.68E+05,0.00E+00,0.00E+00,1.33E+05,4.00E+05,5.18E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,4.01E+05,1.05,,-5.29E+01,-1.32E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.30,3,3,1,2.00E+00,0.00E+00,0.00E+00,2.67E+05,0.00E+00,0.00E+00,1.32E+05,4.00E+05,4.45E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,4.00E+05,1.05,,-5.36E+01,-1.34E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.40,3,4,1,1.63E+00,0.00E+00,0.00E+00,2.67E+05,0.00E+00,0.00E+00,1.32E+05,3.99E+05,3.86E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,3.99E+05,1.05,,-5.17E+01,-1.30E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.50,3,5,1,1.63E+00,0.00E+00,0.00E+00,2.67E+05,0.00E+00,0.00E+00,1.31E+05,3.98E+05,3.37E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,3.98E+05,1.05,,-5.11E+01,-1.28E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.60,3,6,1,1.63E+00,0.00E+00,0.00E+00,2.66E+05,0.00E+00,0.00E+00,1.31E+05,3.98E+05,2.97E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,3.98E+05,1.05,,-5.01E+01,-1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.70,3,7,1,1.75E+00,0.00E+00,0.00E+00,2.66E+05,0.00E+00,0.00E+00,1.31E+05,3.97E+05,2.64E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,3.97E+05,1.05,,-4.84E+01,-1.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.80,3,8,1,2.00E+00,0.00E+00,0.00E+00,2.66E+05,0.00E+00,0.00E+00,1.31E+05,3.97E+05,2.36E+03,0.00E+00,2.54E+05,1.90E+03,0.00E+00,0.00E+00,1.39E+05,3.97E+05,1.05,,-4.57E+01,-1.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
1.90,3,9,1,2.00E+00,0.00E+00,0.00E+00,2.66E+05,0.00E+00,0.00E+00,1.31E+05,3.97E+05,2.13E+03,0.00E+00,2.54E+05,1.91E+03,0.00E+00,0.00E+00,1.39E+05,3.97E+05,1.05,,-4.78E+01,-1.20E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+05
2.00,3,10,1,2.63E+00,0.00E+00,0.00E+00,2.66E+05,0.00E+00,0.00E+00,1.31E+05,3.96E+05,1.93E+03,0.00E+00,2.54E+05,1.91E+03,0.00E+00,0.00E+00,1.38E+05,3.96E+05,1.05,,-4.83E+01,-1.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+05
2.10,4,1,1,1.50E+00,0.00E+00,0.00E+00,2.62E+05,0.00E+00,0.00E+00,1.26E+05,3.88E+05,1.70E+04,0.00E+00,2.32E+05,1.91E+03,0.00E+00,0.00E+00,1.38E+05,3.88E+05,1.13,,-4.97E+01,-1.28E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+05
2.20,4,2,1,1.25E+00,0.00E+00,0.00E+00,2.61E+05,0.00E+00,0.00E+00,1.24E+05,3.85E+05,1.46E+04,0.00E+00,2.32E+05,1.91E+03,0.00E+00,0.00E+00,1.37E+05,3.85E+05,1.13,,-6.03E+01,-1.57E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E+05
2.30,4,3,1,1.50E+00,0.00E+00,0.00E+00,2.60E+05,0.00E+00,0.00E+00,1.23E+05,3.83E+05,1.26E+04,0.00E+00,2.32E+05,1.92E+03,0.00E+00,0.00E+00,1.37E+05,3.83E+05,1.12,,-6.50E+01,-1.70E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E+05
2.40,4,4,1,1.38E+00,0.00E+00,0.00E+00,2.59E+05,0.00E+00,0.00E+00,1.22E+05,3.81E+05,1.10E+04,0.00E+00,2.32E+05,1.92E+03,0.00E+00,0.00E+00,1.36E+05,3.81E+05,1.12,,-6.02E+01,-1.58E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+05
2.50,4,5,1,1.13E+00,0.00E+00,0.00E+00,2.58E+05,0.00E+00,0.00E+00,1.21E+05,3.79E+05,9.69E+03,0.00E+00,2.32E+05,1.92E+03,0.00E+00,0.00E+00,1.36E+05,3.79E+05,1.11,,-6.12E+01,-1.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+05
2.60,4,6,1,1.63E+00,0.00E+00,0.00E+00,2.57E+05,0.00E+00,0.00E+00,1.21E+05,3.78E+05,8.60E+03,0.00E+00,2.32E+05,1.93E+03,0.00E+00,0.00E+00,1.36E+05,3.78E+05,1.11,,-5.94E+01,-1.57E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+05
2.70,4,7,1,1.25E+00,0.00E+00,0.00E+00,2.56E+05,0.00E+00,0.00E+00,1.20E+05,3.76E+05,7.69E+03,0.00E+00,2.32E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.77E+05,1.11,,-5.64E+01,-1.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
2.80,4,8,1,1.25E+00,0.00E+00,0.00E+00,2.56E+05,0.00E+00,0.00E+00,1.20E+05,3.75E+05,6.92E+03,0.00E+00,2.32E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.75E+05,1.10,,-5.79E+01,-1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
2.90,4,9,1,1.13E+00,0.00E+00,0.00E+00,2.55E+05,0.00E+00,0.00E+00,1.19E+05,3.75E+05,6.28E+03,0.00E+00,2.32E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.75E+05,1.10,,-6.07E+01,-1.62E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.00,4,10,1,1.25E+00,0.00E+00,0.00E+00,2.55E+05,0.00E+00,0.00E+00,1.19E+05,3.74E+05,5.71E+03,0.00E+00,2.32E+05,1.93E+03,0.00E+00,0.00E+00,1.34E+05,3.74E+05,1.10,,-5.97E+01,-1.60E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
3.10,5,1,1,7.00E+03,0.00E+00,0.00E+00,2.57E+05,0.00E+00,0.00E+00,1.23E+05,3.86E+05,5.81E+01,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.86E+05,1.03,,-5.64E+01,-1.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.20,5,2,1,5.56E+03,0.00E+00,0.00E+00,2.57E+05,0.00E+00,0.00E+00,1.24E+05,3.86E+05,9.38E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.86E+05,1.03,,-5.57E+01,-1.44E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.30,5,3,1,4.46E+03,0.00E+00,0.00E+00,2.58E+05,0.00E+00,0.00E+00,1.24E+05,3.86E+05,1.75E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.86E+05,1.03,,-5.68E+01,-1.47E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.40,5,4,1,3.59E+03,0.00E+00,0.00E+00,2.58E+05,0.00E+00,0.00E+00,1.25E+05,3.86E+05,1.38E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.86E+05,1.03,,-6.24E+01,-1.62E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.50,5,5,1,2.92E+03,0.00E+00,0.00E+00,2.58E+05,0.00E+00,0.00E+00,1.25E+05,3.87E+05,1.13E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.03,,-6.01E+01,-1.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.60,5,6,1,2.38E+03,0.00E+00,0.00E+00,2.58E+05,0.00E+00,0.00E+00,1.26E+05,3.87E+05,1.50E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.04,,-6.14E+01,-1.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.70,5,7,1,1.95E+03,0.00E+00,0.00E+00,2.59E+05,0.00E+00,0.00E+00,1.26E+05,3.87E+05,1.13E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.04,,-6.05E+01,-1.56E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.80,5,8,1,1.61E+03,0.00E+00,0.00E+00,2.59E+05,0.00E+00,0.00E+00,1.26E+05,3.87E+05,1.38E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.04,,-5.95E+01,-1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
3.90,5,9,1,1.32E+03,0.00E+00,0.00E+00,2.59E+05,0.00E+00,0.00E+00,1.26E+05,3.87E+05,1.50E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.04,,-6.43E+01,-1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
4.00,5,10,1,1.09E+03,0.00E+00,0.00E+00,2.59E+05,0.00E+00,0.00E+00,1.27E+05,3.87E+05,1.50E+00,0.00E+00,2.50E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.87E+05,1.04,,-6.30E+01,-1.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
4.10,6,1,1,1.75E+00,0.00E+00,0.00E+00,2.57E+05,0.00E+00,0.00E+00,1.24E+05,3.81E+05,8.23E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.81E+05,1.09,,-6.07E+01,-1.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
4.20,6,2,1,1.38E+00,0.00E+00,0.00E+00,2.57E+05,0.00E+00,0.00E+00,1.23E+05,3.80E+05,7.03E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.80E+05,1.09,,-6.13E+01,-1.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
4.30,6,3,1,1.13E+00,0.00E+00,0.00E+00,2.56E+05,0.00E+00,0.00E+00,1.22E+05,3.79E+05,6.06E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.35E+05,3.79E+05,1.08,,-5.67E+01,-1.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E+05
4.40,6,4,1,1.38E+00,0.00E+00,0.00E+00,2.56E+05,0.00E+00,0.00E+00,1.22E+05,3.78E+05,5.29E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.34E+05,3.78E+05,1.08,,-6.27E+01,-1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
4.50,6,5,1,1.50E+00,0.00E+00,0.00E+00,2.55E+05,0.00E+00,0.00E+00,1.22E+05,3.77E+05,4.65E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.34E+05,3.77E+05,1.08,,-5.52E+01,-1.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
4.60,6,6,1,1.25E+00,0.00E+00,0.00E+00,2.55E+05,0.00E+00,0.00E+00,1.21E+05,3.76E+05,4.13E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.34E+05,3.76E+05,1.08,,-5.79E+01,-1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
4.70,6,7,1,1.50E+00,0.00E+00,0.00E+00,2.54E+05,0.00E+00,0.00E+00,1.21E+05,3.76E+05,3.70E+03,0.00E+00,2.36E+05,1.93E+03,0.00E+00,0.00E+00,1.34E+05,3.76E+05,1.08,,-5.62E+01,-1.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
4.80,6,8,1,1.38E+00,0.00E+00,0.00E+00,2.54E+05,0.00E+00,0.00E+00,1.21E+05,3.75E+05,3.34E+03,0.00E+00,2.36E+05,1.94E+03,0.00E+00,0.00E+00,1.34E+05,3.75E+05,1.08,,-5.65E+01,-1.51E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E+05
4.90,6,9,1,1.75E+00,0.00E+00,0.00E+00,2.54E+05,0.00E+00,0.00E+00,1.21E+05,3.75E+05,3.03E+03,0.00E+00,2.36E+05,1.94E+03,0.00E+00,0.00E+00,1.33E+05,3.75E+05,1.07,,-5.53E+01,-1.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+05
5.00,6,10,1,1.88E+00,0.00E+00,0.00E+00,2.54E+05,0.00E+00,0.00E+00,1.21E+05,3.74E+05,2.78E+03,0.00E+00,2.36E+05,1.94E+03,0.00E+00,0.00E+00,1.33E+05,3.74E+05,1.07,,-5.67E+01,-1.51E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+05
5.10,7,1,1,1.38E+00,0.00E+00,0.00E+00,2.49E+05,0.00E+00,0.00E+00,1.14E+05,3.63E+05,2.38E+04,0.00E+00,2.05E+05,1.94E+03,0.00E+00,0.00E+00,1.32E+05,3.63E+05,1.22,,-5.37E+01,-1.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+05
5.20,7,2,1,1.00E+00,0.00E+00,0.00E+00,2.47E+05,0.00E+00,0.00E+00,1.12E+05,3.59E+05,2.05E+04,0.00E+00,2.05E+05,1.95E+03,0.00E+00,0.00E+00,1.32E+05,3.59E+05,1.21,,-4.95E+01,-1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+05
5.30,7,3,1,1.00E+00,0.00E+00,0.00E+00,2.46E+05,0.00E+00,0.00E+00,1.10E+05,3.56E+05,1.77E+04,0.00E+00,2.05E+05,1.95E+03,0.00E+00,0.00E+00,1.31E+05,3.56E+05,1.20,,-6.66E+01,-1.87E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05
5.40,7,4,1,1.13E+00,0.00E+00,0.00E+00,2.44E+05,0.00E+00,0.00E+00,1.09E+05,3.53E+05,1.55E+04,0.00E+00,2.05E+05,1.96E+03,0.00E+00,0.00E+00,1.31E+05,3.53E+05,1.19,,-6.09E+01,-1.73E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E+05
5.50,7,5,1,7.50E-01,0.00E+00,0.00E+00,2.43E+05,0.00E+00,0.00E+00,1.08E+05,3.51E+05,1.37E+04,0.00E+00,2.05E+05,1.96E+03,0.00E+00,0.00E+00,1.30E+05,3.51E+05,1.18,,-6.01E+01,-1.71E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+05
5.60,7,6,1,7.50E-01,0.00E+00,0.00E+00,2.42E+05,0.00E+00,0.00E+00,1.07E+05,3.49E+05,1.22E+04,0.00E+00,2.05E+05,1.97E+03,0.00E+00,0.00E+00,1.30E+05,3.49E+05,1.18,,-7.41E+01,-2.12E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+05
